"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.11"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","SampleName408"
"Sample ID:","SampleID408"
"Option:","Option408"
"Analyst:","BaTiO2:S"
"Date/Time:","01/06/2024 07:17:20 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245400537SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","Emission"
"EX Wavelength:","360.0 nm"
"EM Wavelength Start:","410.0 nm"
"EM Wavelength End:","670.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Auto"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AutoFile_20240106_191645 - CorrectionData"
"Wavelength nm.","Intensity"
410.0,4383.970
412.0,4316.500
414.0,4274.124
416.0,4265.443
418.0,4263.346
420.0,4282.352
422.0,4336.225
424.0,4413.377
426.0,4507.268
428.0,4667.645
430.0,4832.810
432.0,5021.384
434.0,5295.840
436.0,5599.597
438.0,5982.172
440.0,6376.086
442.0,6869.997
444.0,7435.262
446.0,8153.647
448.0,8872.979
450.0,9713.606
452.0,10736.786
454.0,11763.546
456.0,12902.314
458.0,14309.596
460.0,15769.355
462.0,17268.290
464.0,19136.224
466.0,20889.006
468.0,22822.562
470.0,24864.185
472.0,26979.287
474.0,29043.258
476.0,31629.938
478.0,33936.242
480.0,36275.774
482.0,38768.192
484.0,41137.452
486.0,43369.918
488.0,45863.317
490.0,48299.625
492.0,50294.119
494.0,52280.710
496.0,54383.847
498.0,56346.480
500.0,58048.824
502.0,59670.021
504.0,61268.954
506.0,62504.269
508.0,63832.229
510.0,65026.525
512.0,65841.908
514.0,66506.585
516.0,67149.055
518.0,67609.305
520.0,67780.457
522.0,67920.793
524.0,67849.477
526.0,67547.836
528.0,67141.908
530.0,66686.879
532.0,66103.115
534.0,65237.918
536.0,64381.616
538.0,63364.452
540.0,62450.318
542.0,61454.372
544.0,60123.532
546.0,58636.211
548.0,57539.409
550.0,56066.421
552.0,54539.678
554.0,53173.092
556.0,51517.744
558.0,49924.193
560.0,48479.795
562.0,46957.003
564.0,45224.549
566.0,43794.870
568.0,42143.054
570.0,40473.289
572.0,38966.478
574.0,37525.086
576.0,36016.103
578.0,34438.766
580.0,33091.511
582.0,31758.335
584.0,30176.573
586.0,28871.643
588.0,27651.959
590.0,26366.973
592.0,24970.443
594.0,23912.591
596.0,22660.688
598.0,21400.414
600.0,20427.557
602.0,19408.246
604.0,18320.999
606.0,17475.665
608.0,16662.851
610.0,15710.784
612.0,14913.686
614.0,14223.587
616.0,13553.619
618.0,12877.999
620.0,12432.751
622.0,11894.037
624.0,11405.717
626.0,10882.576
628.0,10435.386
630.0,9905.864
632.0,9420.124
634.0,8963.962
636.0,8478.043
638.0,8075.910
640.0,7671.015
642.0,7357.769
644.0,7062.325
646.0,6733.617
648.0,6487.409
650.0,6243.779
652.0,6009.740
654.0,5821.193
656.0,5559.718
658.0,5348.331
660.0,5223.828
662.0,5094.574
664.0,4966.956
666.0,4896.717
668.0,4866.986
670.0,4909.619
